,BLS TC Sign 32B (µs),BLS TC Sign 1MiB (µs),BLS BLST Sign 32B (µs),BLS BLST Sign 1MiB (µs),ED25519 Sign 32B (µs),ED25519 Sign 1MiB (µs),BLS TC Verify 32B (µs),BLS TC Verify 1MiB (µs),BLS BLST Verify 32B (µs),BLS BLST Verify 1MiB (µs),ED25519 Verify 32B (µs),ED25519 Verify 1MiB (µs),SHA2-512 32B (µs),SHA2-512 1MiB (µs),SHA3-256 32B (µs),SHA3-256 1MiB (µs)
Average,=AVERAGE(B5:B1004),=AVERAGE(C5:C1004),=AVERAGE(D5:D1004),=AVERAGE(E5:E1004),=AVERAGE(F5:F1004),=AVERAGE(G5:G1004),=AVERAGE(H5:H1004),=AVERAGE(I5:I1004),=AVERAGE(J5:J1004),=AVERAGE(K5:K1004),=AVERAGE(L5:L1004),=AVERAGE(M5:M1004)
Median,=MEDIAN(B5:B1004),=MEDIAN(C5:C1004),=MEDIAN(D5:D1004),=MEDIAN(E5:E1004),=MEDIAN(F5:F1004),=MEDIAN(G5:G1004),=MEDIAN(H5:H1004),=MEDIAN(I5:I1004),=MEDIAN(J5:J1004),=MEDIAN(K5:K1004),=MEDIAN(L5:L1004),=MEDIAN(M5:M1004)
stdev,=STDEV(B5:B1004),=STDEV(C5:C1004),=STDEV(D5:D1004),=STDEV(E5:E1004),=STDEV(F5:F1004),=STDEV(G5:G1004),=STDEV(H5:H1004),=STDEV(I5:I1004),=STDEV(J5:J1004),=STDEV(K5:K1004),=STDEV(L5:L1004),=STDEV(M5:M1004)
127,1669.042,3230.625,125.708,513.75,11.75,3527.791,3952.375,5720.584,539.542,964.084,28.125,1791.042,0.208,1763.792,0.208,1630.792
128,1511.708,3487.792,125.792,522.834,11.667,3476.209,3959.292,5611.208,526,920.041,27.458,1765.459,0.208,1827.334,0.208,1594.041
129,1517.042,3279.416,125.792,514,11.709,3526.875,3886.792,5586.125,520.625,966.625,34.584,1738.541,0.208,1787.458,0.208,1701.708
130,1517.375,3134.458,125.959,513.958,11.708,3500.25,4230.875,5757.042,525.875,947.708,28.042,1753.375,0.208,1713.417,0.208,1631.5
131,1508.041,3121,125.666,513.833,11.709,3487.333,4136.584,5907.25,539.916,919.917,28.416,1785.708,0.25,1774.042,0.25,1663.542
132,1729.208,3291.167,125.625,526.583,11.667,3486.417,4225.458,5891.5,526.25,933.458,28,1816.875,0.25,1731.166,0.208,1719.416
133,1519.458,3201.333,125.792,520.5,11.709,3515.75,4198.083,5557.5,529.041,920.334,28.5,1846.208,0.25,1790.083,0.208,1747.667
134,1570.167,3204.875,125.75,513.833,11.791,3512.75,4113.25,5570.125,519.833,956.042,28.042,1808.667,0.209,1788.667,0.208,1591.042
135,1562.625,3179.333,125.75,513.792,20.459,3535.417,4034.875,5559.833,519.458,940.75,28.25,1770.625,0.209,1821.417,0.209,1694.125
136,1509.958,3146.042,125.959,514.042,11.709,3443.042,4089.084,5634.417,520.667,928.375,27.959,1734.417,0.209,1740.25,0.209,1595.417
137,1585.875,3490.917,125.875,516,11.709,3476.417,3932.916,5659.792,524.167,926.708,28.25,1771.625,0.208,1838.208,0.208,1587.083
138,1546.75,3256.041,125.542,513.875,11.667,3508.917,3983.959,5579.583,526.334,922.167,27.875,1767.583,0.208,1751.333,0.208,2222.791
